id,user_id,short_code,original_url,title,is_active,created_at,updated_at
1,1,0VZ3jd,https://acme.dev/jade/island/1,Alert feed yard,True,2025-03-21 00:28:24,2025-11-11 10:12:18
2,391,Zb4VAo,https://opswise.net/brisk/network/2,Quarterly brief window,False,2025-10-01 15:17:33,2025-12-08 02:32:56
3,62,xREf4G,https://hackstack.io/ivory/field/3,Quarterly brief signal,True,2025-05-16 19:23:43,2025-06-18 12:44:50
4,241,19LuR5,https://example.com/young/beacon/4,Service guide meadow,True,2026-02-08 00:48:34,2026-02-20 20:42:05
5,338,TLD4LP,https://hackstack.io/calm/garden/5,Service guide beacon,True,2025-06-22 22:38:49,2026-02-16 03:30:48
6,363,JWXaTd,https://seeded.app/silver/river/6,Incident notes anchor,True,2025-04-17 20:43:50,2025-12-02 16:41:47
7,360,qmnhTP,https://opswise.net/brisk/canyon/7,Incident notes delta,True,2025-10-02 17:37:28,2026-02-18 16:07:38
8,105,n1lt3z,https://seeded.app/warm/canyon/8,Quarterly brief kernel,True,2026-01-03 15:24:44,2026-01-16 17:24:28
9,271,9haGl4,https://opswise.net/jade/anchor/9,Status board quartz,True,2025-07-06 21:17:35,2025-07-23 22:20:56
10,123,I6KpBT,https://seeded.app/warm/meadow/10,Alert feed zenith,True,2025-05-20 19:06:35,2025-07-29 01:52:38
11,189,V64KP6,https://acme.dev/keen/delta/11,Campaign page orbit,True,2025-12-01 13:40:05,2025-12-02 05:40:35
12,363,zwIe20,https://hackstack.io/dawn/quartz/12,Quarterly brief signal,False,2025-01-16 07:36:49,2025-03-27 14:36:15
13,191,I44uW6,https://relay.cloud/cobalt/kernel/13,Campaign page zenith,True,2025-02-06 02:53:28,2025-10-23 05:35:54
14,174,xcmLR0,https://opswise.net/navy/quartz/14,Service guide harvest,True,2025-07-08 22:11:46,2025-11-20 21:40:21
15,29,K7cgFo,https://opswise.net/tidy/uplink/15,Quarterly brief delta,True,2025-06-06 06:56:31,2025-11-06 15:26:02
16,289,DgNwh2,https://hackstack.io/amber/zenith/16,Status board beacon,False,2025-05-02 04:10:46,2025-09-24 21:49:26
17,21,nEJnXa,https://opswise.net/young/window/17,Demo link anchor,True,2025-11-01 01:24:25,2025-12-04 17:58:26
18,181,0TABEs,https://example.com/dawn/engine/18,Campaign page island,True,2025-04-25 12:41:54,2025-06-21 00:36:08
19,322,4oBAX7,https://hackstack.io/keen/orbit/19,Quarterly brief window,True,2025-09-14 13:41:47,2025-12-16 02:18:41
20,296,eb63zr,https://seeded.app/young/uplink/20,Quarterly brief delta,True,2025-07-27 05:41:30,2025-12-26 03:54:22
21,277,2oiK4S,https://example.com/harbor/valley/21,Campaign page delta,True,2025-02-20 08:38:35,2025-03-21 06:20:42
22,356,P8btBQ,https://seeded.app/opal/lagoon/22,Launch deck network,True,2025-03-27 02:55:01,2025-06-17 14:02:02
23,158,AaC7x0,https://relay.cloud/forest/lagoon/23,Quarterly brief kernel,True,2025-02-07 22:29:16,2025-04-04 04:55:37
